step,time,object_id,shape,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
112,1.866666,0,1,-0.211880,27.001163,0.000000,14.799450,0.678993,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
113,1.883332,0,1,0.037497,27.003393,0.000000,14.903553,0.315740,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
114,1.899999,0,1,0.291254,26.999300,0.000000,15.110955,-0.056643,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
115,1.916666,0,1,0.550517,26.988483,0.000000,15.398721,-0.448525,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
116,1.933332,0,1,0.815953,26.970434,0.000000,15.740784,-0.867556,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
117,1.949999,0,1,1.087834,26.944588,0.000000,16.112556,-1.318607,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
118,1.966666,0,1,1.366123,26.910357,0.000000,16.493364,-1.804202,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
119,1.983332,0,1,1.650556,26.867147,0.000000,16.867060,-2.325091,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
120,1.999999,0,1,1.940705,26.814392,0.000000,17.221598,-2.880794,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
121,2.016665,0,1,2.236030,26.751545,0.000000,17.548309,-3.470016,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
122,2.033332,0,1,2.535909,26.678095,0.000000,17.841078,-4.090961,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
123,2.049999,0,1,2.839670,26.593567,0.000000,18.095726,-4.741544,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
124,2.066665,0,1,3.146608,26.497522,0.000000,18.309507,-5.419567,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
125,2.083332,0,1,3.456001,26.389568,0.000000,18.480736,-6.122821,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
126,2.099999,0,1,3.767119,26.269333,0.000000,18.608543,-6.849212,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
127,2.116665,0,1,4.079232,26.136484,0.000000,18.692661,-7.596823,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
128,2.133332,0,1,4.391619,25.990713,0.000000,18.733309,-8.363996,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
129,2.149999,0,1,4.703570,25.831724,0.000000,18.731014,-9.149384,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
130,2.166665,0,1,5.014395,25.659246,0.000000,18.686518,-9.952004,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
131,2.183332,0,1,5.323409,25.473007,0.000000,18.600643,-10.771257,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
